di saat cowok usaha lacak perhati gue lantas remeh perhati gue kasih khusus basic cowok bego	abusive
telat tau eluedan sarap gue gaul cigax jifla cal licew	hate speech
kadang pikir percaya tuhan jatuh berkalikali kadang tuhan tinggal orang tua rencana pisah kakak pilih kristen anak ter	neutral
akunnku tau mata sipit lihat	neutral
kaum cebong kafir lihat dongok dungu haha	abusive
bani taplak dan kawan kawan xfxfxxxfxfxxxfxfxx	abusive
deklarasi pilih kepala daerah aman anti hoaks warga dukuh sari jabon	neutral
gue selesai rewatch aldnoah zero kampret karakter utama cowok kena friendzone bro uniform resource locator	hate speech
admin belanja port nak makan ais kepal milo ais kepal horlicks cendol toping kau kau  doket gerai rozak mertua taipan kembar baby romantika bank islam senawang 	neutral
enak ngewe	hate speech
gue jari gue ukur nyali bacot xfxfxxf	abusive
banci kaleng malu nyungsep koe uniform resource locator	abusive
ajar ekonomi mesti jago privatisasi hati orang aduh ironi	neutral
aktor huru hara prabowo si lengser perintah jokowi nyata	hate speech
bu guru enak jablay guru sekolah dasar sihnkayaknya nikmat pecun guru	abusive
lawan bicara gue intelek kayak otak kencing onta gue hadis nabi sahih kafir kayak tolak ahlun nar	abusive
pikir ampas banget	neutral
ari bek rapi monyetxfxfxxxfxfxx	hate speech
cowok gantle gantle nama banci	abusive
alga mnr bom xfxfxx	neutral
anjing gue jarang ambek takut wkwk gue budak cinta	hate speech
noob peluang sakit nya gede	neutral
joko widodo nilai presiden lemah sejarah indonesia jokowi milik modal dukung politik ketidakmampuan perintah hadap situasi ekonomi	neutral
ajar camat bilah hilir deklarasi anti hoaks pilih kepala daerah damai	neutral
bandara udara internasional kertajati bangun gubernur ahmad heryawan anggar dapat dan belanja negara perintah pusat insya allah operasi	neutral
gubernur presiden rakyat	neutral
kerja delay mulu setan	abusive
pintu sorga pintu sorga asli pintu hati modus banget	neutral
partai komunis indonesia muncul jelang pilih kepala daerah pilih presiden goreng gosong	hate speech
neneknenek heran cebong bohong	abusive
islam nusantara produk jil pasar gencar antekxcxb jilnnsementara jil anti arab pro asengnnkata almarhum kh hasyim muzadi	hate speech
habis sahur jam si bayi nete lemas xfxfxaxa	neutral
kak emak suka sipit wkwk	neutral
laku homo jaman now ngentot live blued gay video gvid lokal hangat uniform resource locator	hate speech
kak gue orang jawa maaf gue orang palembang kakak deh ajar aksara jawa kelak ajar budaya palembang	neutral
pegawai guardian training kayak mentang gue kayak gembel kaos flat shoes dijutekin bangsat malas beli kabur gue matahari	abusive
xexxdpara bajing luka lady terima ganjar ratus kali lipatxexxdsanji hbdthpelautjkt	hate speech
aja tolak berita hoaks sukses pilih kepala daerah wilayah kota	neutral
presiden ri jokowi luar biasa kerja nya tulus ikhlas rakyatbrsamajkw	neutral
edan tuju fabiano	hate speech
tidak pernah alquran bang pantas saja mulut kayak orang kafir bejat hina farhat abbas law	abusive
lihat beda wibawa wibawa gubernur indonesia masya allah	neutral
anjir kali lihat orang bego debat pilih kepala daerah kerja serang karakter kecewa on empok silvy and agus debat final pilih kepala daerah jakarta	abusive
gubernur zaman now gusipulputi ganjar yasin djarotsihar hasananton kosterace nurdinsudirman karolingidot keanekaragaman budaya suku agama sungguh kaya djarot hadap rakercabsu	neutral
iya islam di lokalisasi kristen mas nusantara mas lihat gereja bandung pakai gamelan khotbah pakai bahas sundajawa huria kristen batak protestan nusantara	neutral
cipta situasi aman dan tertib masyarakat jelang pilih kepala daerah kepala polisi sektor konang silaturahmi tokoh masyarakat	neutral
positif koknsepositif respon masyarakat terhadapn cangkul imporn garam imporn beras imporn jagung imporn tenaga kerja imporn esemka impornnurl	neutral
sembahyang adopsi tradisi lokal kerja hindunnistilahxcxasembahyangxcxapun lahir tradisi ritusxcxamenyembahhyang tunggal denganxcxashalat sembah all	neutral
didik bodohgk larang bawa agamabiar orang islam bayar ahok sadar pilih ahok gila	abusive
ahok the best abai kaum kampret otak micin	abusive
otak tempurung laden lawan dungu makan hehe	abusive
awaasss berita saudara gerung susah cari kosakata bocor picing mata bibir monyong samping suara ky nhn kentut politik kotor zaman brt pulang ky nhn ngedendungu xfxfxxb	abusive
pinokio umur ganti presiden	hate speech
cerita silat lae xfxfxx kho merah muda oh indonesia liang ie shen tulis cina	neutral
benci umat islam	hate speech
provokasi mayat politisasi agama kalah pilih kepala daerah daerah khusus ibukota cebong deskripsi kalah junjung for your information ahok pilih camat wakil etnis mayoritas	abusive
gue nete	hate speech
wkwk bani lowo	abusive
takabur lahir kuasa rakyat ulama cendikia iblis makhluk alim ibadah atus laknat hasud takabur orang ahli ilmu filsafat failosof mari demo sendi	neutral
a orang suka konserkonser boros	neutral
makan racun ulama hukum rokok mubah	neutral
susilo bambang yudhoyono presiden ri khofifah emil masyarakat no bagus khofifahemilnomer	neutral
kali gue gemar korea pop omong teman gue idol gue banci homo	abusive
suka video uniform resource locator kisah seteru haji bolot malih tongtong	neutral
budaya kafir sungguh islam indah	neutral
xfxfxexb lahm hem xfxfxexa diam bisunkita coba rumput goyang nxexxabxexxabxexxabxexxaaxexxaaxexxaa	neutral
setan bisik waswas lindung allah qs alaxexxraf fussilat	neutral
atheisngapain sibuk agama orang	neutral
lengser jokowi bangsat	abusive
selamat kartini ganti presiden presidenbaru	neutral
bajing homonhati hadap anak utama kamar mandi laki biar uniform resource locator	abusive
iya cocot	abusive
budaya indonesia	neutral
ajar solata orang asing pecah belah islam	neutral
bicara bangkai	abusive
percaya negara di suatu jajah ke ranah kespembubaran sistem beraja di negara negara republik komunis negara jaja	neutral
nikmat bijak usul partai komunis indonesia iya	hate speech
umpama orang cina usir paksa indonesia	hate speech
bunda ngentot yuk	hate speech
cina babi cina malingnusirchina httpstcoyhiwhjp	abusive
karno anti asing beliau jawa coba deh adakan konsensus jawa anti asing pro asing keboohannya nnkalau keliru tutup akun	neutral
proyek korupsi rezim susilo bambang yudhoyono uniform resource locator	hate speech
wajar lihat tingkah petinggi negeri suka campur bahas indonesia bahas asing kali bicara	neutral
ab pribadi senang kompetisi positif	neutral
kitab suci agama bilang om dadak kalap	hate speech
suka tutup mata tutup lihat tutup gara sipit	neutral
muslim nista kitab suci alquran alquran suku detik makna faktual umat islam makna sirat fiksi	neutral
eh kasar kampang	abusive
bentar gue rilis album the ontas wkwk	neutral
cebong bang	abusive
najis banget gue mentwit barusan he	hate speech
transgender anjing uniform resource locator	abusive
awas bintit intip titit kucing	hate speech
bawel bawa asa bolot bodor enggak jelas wkwk deh	hate speech
gue saran bacot maling ayat langsung to the point orang paham riak kafir sesat liberal puja dukun bla blaaa hati puas deh	abusive
salah target ahok agenda utama lengser jokowi	hate speech
kena tagar panas ingin tahu banget ganti presiden	hate speech
maju duit goyang kaki pape duit nak maju kat bodoh uniform resource locator	hate speech
huria kristen batak protestan pecah kristen katolik zaman jajah belandadl nama kristen protestan kristen khatoliknterjadilah pecah huria kristen batak protestan kali tarutungnnnah k	neutral
baca biar pintar jepang amerika cina utang tau	neutral
prabowo kalah bantu jokowi citra ratap pilu	hate speech
takut azan iblis	neutral
goblok bani cebong tukang tipu jilat kuasa gera bayar pakai nasi bungkus propaganda nasi bungkus gagal	abusive
cebong sewotnxfxfxxxfxfxxxfxfxx	abusive
gera tekan kerja keras total tingkat potensi bangsa	neutral
gubernur djarot mayoritas partai politik dewan wakil rakyat daerah dukung ahok djarot payah uniform resource locator	hate speech
